,model,kf,Accuracy
0,RFC,0,0.8559
1,RFC,1,0.8484
2,RFC,2,0.8545
3,RFC,3,0.8572
4,RFC,4,0.8562
5,GradientBoostingC,0,0.8562
6,GradientBoostingC,1,0.854
7,GradientBoostingC,2,0.8591
8,GradientBoostingC,3,0.8584
9,GradientBoostingC,4,0.8575
10,AdaBoostC,0,0.8524
11,AdaBoostC,1,0.8513
12,AdaBoostC,2,0.8528
13,AdaBoostC,3,0.8587
14,AdaBoostC,4,0.8532
15,XGBoostC,0,0.859
16,XGBoostC,1,0.8539
17,XGBoostC,2,0.8558
18,XGBoostC,3,0.8586
19,XGBoostC,4,0.8548
